ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
,variation,itp-series-007,itp-series,0,Artikelnummer,N04900057,1,0,Omschrijving,YL ITG 1000,1,0,Capaciteit,1.000,1,0,Balkbreedte,50-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-008,itp-series,0,Artikelnummer,N04900058,1,0,Omschrijving,YL ITG 2000,1,0,Capaciteit,2.000,1,0,Balkbreedte,58-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-009,itp-series,0,Artikelnummer,N04900059,1,0,Omschrijving,YL ITG 3000,1,0,Capaciteit,3.000,1,0,Balkbreedte,74-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-010,itp-series,0,Artikelnummer,N04900060,1,0,Omschrijving,YL ITG 5000,1,0,Capaciteit,5.000,1,0,Balkbreedte,98-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,2,1,0
,variation,itp-series-011,itp-series,0,Artikelnummer,N04900061,1,0,Omschrijving,YL ITG 10000,1,0,Capaciteit,10.000,1,0,Balkbreedte,125-310,1,0,Hijshoogte,3.0,1,0,Aantal parten,3,1,0
,variation,itp-series-012,itp-series,0,Artikelnummer,N04900055,1,0,Omschrijving,YL ITG 20000,1,0,Capaciteit,20.000,1,0,Balkbreedte,180-310,1,0,Hijshoogte,3.0,1,0,Aantal parten,6,1,0
,variation,ergo-series-001,ergo-series,0,Artikelnummer,192028202,1,0,Omschrijving,YaleERGO 360 1500,1,0,Capaciteit,1500,1,0,Hijshoogte,1.5,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-002,ergo-series,0,Artikelnummer,192028204,1,0,Omschrijving,YaleERGO 360 750,1,0,Capaciteit,750,1,0,Hijshoogte,1.5,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-003,ergo-series,0,Artikelnummer,192028553,1,0,Omschrijving,YaleERGO 360 3000,1,0,Capaciteit,3.000,1,0,Hijshoogte,1.5,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-004,ergo-series,0,Artikelnummer,192035451,1,0,Omschrijving,YaleERGO 360 6000,1,0,Capaciteit,6.000,1,0,Hijshoogte,1.5,1,0,Aantal parten,2,1,0,,,,
