ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,variation,st20-series-005,st20-series,0,Type,ST 2008-8/2 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st20-series-006,st20-series,0,Type,ST 2008-12 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st20-series-007,st20-series,0,Type,ST 2008-12/3 1/1,1,0,Capaciteit (kg),800,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st20-series-008,st20-series,0,Type,ST 2005-12 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st20-series-009,st20-series,0,Type,ST 2005-12/3 2/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st20-series-010,st20-series,0,Type,ST 2010-8 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st20-series-011,st20-series,0,Type,ST 2010-8/2 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st20-series-012,st20-series,0,Type,ST 2010-12 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12,1,0,Parten,1/1,1,0
,variation,st20-series-013,st20-series,0,Type,ST 2010-12/3 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st20-series-014,st20-series,0,Type,ST 2006-12 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st20-series-015,st20-series,0,Type,ST 2006-12/3 2/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st20-series-016,st20-series,0,Type,ST 2008-8 2/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st20-series-017,st20-series,0,Type,ST 2008-8/2 2/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st20-series-018,st20-series,0,Type,ST 2008-16/4 2/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),16/4,1,0,Parten,2/1,1,0
,variation,st20-series-019,st20-series,0,Type,ST 2010-8 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st20-series-020,st20-series,0,Type,ST 2010-8/2 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st20-series-021,st20-series,0,Type,ST 2010-12 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),12,1,0,Parten,2/1,1,0
,variation,st20-series-022,st20-series,0,Type,ST 2010-12/3 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
